tanggal;propinsi;nilai;kategori;pulau
2020-03-25;Kalimantan Selatan;1;Terkonfirmasi;Kalimantan
2020-03-25;Kepulauan Riau;5;Terkonfirmasi;Sumatera
2020-03-25;Nusa Tenggara Barat;2;Terkonfirmasi;Sunda Kecil
2020-03-25;Sulawesi Utara;1;Terkonfirmasi;Sulawesi
2020-03-25;Sumatera Selatan;2;Terkonfirmasi;Sumatera
2020-03-25;Sumatera Utara;8;Terkonfirmasi;Sumatera
2020-03-25;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-25;Sulawesi Selatan;13;Terkonfirmasi;Sulawesi
2020-03-25;Lampung;1;Terkonfirmasi;Sumatera
2020-03-25;Riau;1;Terkonfirmasi;Sumatera
2020-03-25;Maluku Utara;1;Terkonfirmasi;Maluku
2020-03-25;Maluku;1;Terkonfirmasi;Maluku
2020-03-25;Papua;3;Terkonfirmasi;Papua
2020-03-25;Bali;2;Kematian;Sunda Kecil
2020-03-25;Banten;4;Kematian;Jawa
2020-03-25;Yogyakarta;2;Kematian;Jawa
2020-03-25;Jakarta;31;Kematian;Jawa
2020-03-25;Jambi;0;Kematian;Sumatera
2020-03-25;Jawa Barat;10;Kematian;Jawa
2020-03-25;Jawa Tengah;4;Kematian;Jawa
2020-03-25;Jawa Timur;1;Kematian;Jawa
2020-03-25;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-25;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-25;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-25;Kalimantan Selatan;0;Kematian;Kalimantan
2020-03-25;Kepulauan Riau;1;Kematian;Sumatera
2020-03-25;Nusa Tenggara Barat;0;Kematian;Sunda Kecil
2020-03-25;Sulawesi Utara;1;Kematian;Sulawesi
2020-03-25;Sumatera Selatan;0;Kematian;Sumatera
2020-03-25;Sumatera Utara;1;Kematian;Sumatera
2020-03-25;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-25;Sulawesi Selatan;1;Kematian;Sulawesi
2020-03-25;Lampung;0;Kematian;Sumatera
2020-03-25;Riau;0;Kematian;Sumatera
2020-03-25;Maluku Utara;0;Kematian;Maluku
2020-03-25;Maluku;0;Kematian;Maluku
2020-03-25;Papua;0;Kematian;Papua
2020-03-26;Aceh;1;Terkonfirmasi;Sumatera
2020-03-26;Bali;9;Terkonfirmasi;Sunda Kecil
2020-03-26;Banten;67;Terkonfirmasi;Jawa
2020-03-26;Yogyakarta;16;Terkonfirmasi;Jawa
2020-03-26;Jakarta;515;Terkonfirmasi;Jawa
2020-03-26;Jambi;1;Terkonfirmasi;Sumatera
2020-03-26;Jawa Barat;78;Terkonfirmasi;Jawa
2020-03-26;Jawa Tengah;40;Terkonfirmasi;Jawa
2020-03-26;Jawa Timur;59;Terkonfirmasi;Jawa
2020-03-26;Kalimantan Barat;3;Terkonfirmasi;Kalimantan
2020-03-26;Kalimantan Timur;11;Terkonfirmasi;Kalimantan
2020-03-26;Kalimantan Tengah;6;Terkonfirmasi;Kalimantan
2020-03-26;Kalimantan Selatan;1;Terkonfirmasi;Kalimantan
2020-03-26;Kepulauan Riau;5;Terkonfirmasi;Sumatera
2020-03-26;Nusa Tenggara Barat;2;Terkonfirmasi;Sunda Kecil
2020-03-26;Sumatera Selatan;1;Terkonfirmasi;Sumatera
2020-03-26;Sumatera Barat;3;Terkonfirmasi;Sumatera
2020-03-26;Sulawesi Utara;2;Terkonfirmasi;Sulawesi
2020-03-26;Sumatera Utara;8;Terkonfirmasi;Sumatera
2020-03-26;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-26;Sulawesi Selatan;27;Terkonfirmasi;Sulawesi
2020-03-26;Sulawesi Tengah;1;Terkonfirmasi;Sulawesi
2020-03-26;Lampung;3;Terkonfirmasi;Sumatera
2020-03-26;Riau;2;Terkonfirmasi;Sumatera
2020-03-26;Maluku Utara;1;Terkonfirmasi;Maluku
2020-03-26;Maluku;1;Terkonfirmasi;Maluku
2020-03-26;Papua;7;Terkonfirmasi;Papua
2020-03-26;Aceh;0;Kematian;Sumatera
2020-03-26;Bali;2;Kematian;Sunda Kecil
2020-03-26;Banten;4;Kematian;Jawa
2020-03-26;Yogyakarta;2;Kematian;Jawa
2020-03-26;Jakarta;46;Kematian;Jawa
2020-03-26;Jambi;0;Kematian;Sumatera
2020-03-26;Jawa Barat;11;Kematian;Jawa
2020-03-26;Jawa Tengah;6;Kematian;Jawa
2020-03-26;Jawa Timur;3;Kematian;Jawa
2020-03-26;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-26;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-26;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-26;Kalimantan Selatan;0;Kematian;Kalimantan
2020-03-26;Kepulauan Riau;1;Kematian;Sumatera
2020-03-26;Nusa Tenggara Barat;0;Kematian;Sunda Kecil
2020-03-26;Sumatera Selatan;1;Kematian;Sumatera
2020-03-26;Sumatera Barat;0;Kematian;Sumatera
2020-03-26;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-26;Sumatera Utara;1;Kematian;Sumatera
2020-03-26;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-26;Sulawesi Selatan;1;Kematian;Sulawesi
2020-03-26;Sulawesi Tengah;0;Kematian;Sulawesi
2020-03-26;Lampung;0;Kematian;Sumatera
2020-03-26;Riau;0;Kematian;Sumatera
2020-03-26;Maluku Utara;0;Kematian;Maluku
2020-03-26;Maluku;0;Kematian;Maluku
2020-03-26;Papua;0;Kematian;Papua
2020-03-27;Aceh;4;Terkonfirmasi;Sumatera
2020-03-27;Bali;9;Terkonfirmasi;Sunda Kecil
2020-03-27;Banten;84;Terkonfirmasi;Jawa
2020-03-27;Yogyakarta;22;Terkonfirmasi;Jawa
2020-03-27;Jakarta;598;Terkonfirmasi;Jawa
2020-03-27;Jambi;1;Terkonfirmasi;Sumatera
2020-03-27;Jawa Barat;98;Terkonfirmasi;Jawa
2020-03-27;Jawa Tengah;43;Terkonfirmasi;Jawa
2020-03-27;Jawa Timur;66;Terkonfirmasi;Jawa
2020-03-27;Kalimantan Barat;3;Terkonfirmasi;Kalimantan
2020-03-27;Kalimantan Timur;11;Terkonfirmasi;Kalimantan
2020-03-27;Kalimantan Tengah;6;Terkonfirmasi;Kalimantan
2020-03-27;Kalimantan Selatan;1;Terkonfirmasi;Kalimantan
2020-03-27;Kepulauan Riau;5;Terkonfirmasi;Sumatera
2020-03-27;Nusa Tenggara Barat;2;Terkonfirmasi;Sunda Kecil
2020-03-27;Sumatera Selatan;1;Terkonfirmasi;Sumatera
2020-03-27;Sumatera Barat;5;Terkonfirmasi;Sumatera
2020-03-27;Sulawesi Utara;2;Terkonfirmasi;Sulawesi
2020-03-27;Sumatera Utara;8;Terkonfirmasi;Sumatera
2020-03-27;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-27;Sulawesi Selatan;29;Terkonfirmasi;Sulawesi
2020-03-27;Sulawesi Tengah;1;Terkonfirmasi;Sulawesi
2020-03-27;Lampung;4;Terkonfirmasi;Sumatera
2020-03-27;Riau;1;Terkonfirmasi;Sumatera
2020-03-27;Maluku Utara;1;Terkonfirmasi;Maluku
